common.breadcrumb	Breadcrumb
develoCore.services.ctaGrid.card4.title	Website Design UI/UX
develoCore.services.ctaGrid.card4.desc	Conversion-focused design that improves user journeys and grows revenue.
develoCore.services.work.label	Our work
develoCore.services.work.heading	Explore our client stories
develoCore.services.work.desc	See how we help brands overcome technical challenges, scale globally and drive measurable eCommerce growth.
develoCore.services.work.cta	View all projects
develoCore.services.work.tagAdobeHyva	Adobe Hyva Migration
develoCore.services.work.tagHyva	Hyva Migration
develoCore.services.work.tagMagentoAuction	Magento Auction Portal
develoCore.sitemap.meta.title	Sitemap | Develo Design
develoCore.sitemap.meta.description	Browse all 251 pages on the Develo Design website.
develoCore.sitemap.hero.title	Sitemap
develoCore.sitemap.hero.count	251 pages
develoCore.sitemap.hero.subtitle	Browse all pages on our website
develoCore.sitemap.home.title	Home
develoCore.sitemap.home.link	Home
develoCore.sitemap.about.title	About
develoCore.sitemap.about.meetTheTeam	Meet the Team
develoCore.sitemap.about.testimonials	Testimonials
develoCore.sitemap.about.careers	Careers
develoCore.sitemap.aboutUs.title	About Us
develoCore.sitemap.aboutUs.aboutDevelo	About Develo
develoCore.sitemap.contact.title	Contact
develoCore.sitemap.contact.contactUs	Contact Us
develoCore.sitemap.privacy.title	Privacy And Cookies Policy
develoCore.sitemap.privacy.privacyPolicy	Privacy Policy
develoCore.sitemap.services.title	Services
develoCore.sitemap.services.services	Services
develoCore.sitemap.services.maintainOrFixMySite	Maintain or Fix My Site
develoCore.sitemap.services.magentoSupportAndMaintenance	Magento Support & Maintenance
develoCore.sitemap.services.magentoSupportPackages	Magento Support Packages
develoCore.sitemap.services.performanceOptimisations	Performance Optimisations
develoCore.sitemap.services.magentoSiteAudits	Magento Site Audits
develoCore.sitemap.services.findATechnologyPartner	Find a Technology Partner
develoCore.sitemap.services.hyvaThemesDevelopment	Hyva Themes Development
develoCore.sitemap.services.magentoDevelopment	Magento Development
develoCore.sitemap.services.adobeCommerceAgency	Adobe Commerce Agency
develoCore.sitemap.services.b2bEcommerce	B2B eCommerce
develoCore.sitemap.services.migrationsAndUpgrades	Migrations and Upgrades
develoCore.sitemap.services.magentoIntegrations	Magento Integrations
develoCore.sitemap.services.optimiseMyStore	Optimise My Store
develoCore.sitemap.services.uiUxDesign	UI/UX Design
develoCore.sitemap.services.cro	Conversion Rate Optimisation (CRO)
develoCore.sitemap.services.webDesign	Web Design
develoCore.sitemap.work.title	Work
develoCore.sitemap.work.ourWork	Our Work
develoCore.sitemap.work.caseBrandAlley	Case Study - BrandAlley
develoCore.sitemap.work.caseDaylesford	Case Study - Daylesford
develoCore.sitemap.work.caseBamford	Case Study - Bamford
develoCore.sitemap.work.caseTeague	Case Study - Teague
develoCore.sitemap.work.caseLeonPaul	Case Study - Leon Paul
develoCore.sitemap.work.caseCurrys	Case Study - Currys
develoCore.sitemap.migrations.title	Migrations
develoCore.sitemap.migrations.bigcommerce	Migrate from BigCommerce to Magento + Hyva
develoCore.sitemap.migrations.salesforce	Migrate from Salesforce Commerce Cloud to Magento + Hyva
develoCore.sitemap.migrations.prestashop	Migrate from PrestaShop to Magento + Hyva
develoCore.sitemap.migrations.shopify	Migrate from Shopify Plus to Magento + Hyva
develoCore.sitemap.migrations.woocommerce	Migrate from WooCommerce to Magento + Hyva
develoCore.sitemap.marketplace.title	Develo Marketplace
develoCore.sitemap.marketplace.marketplace	Develo Marketplace
develoCore.sitemap.marketplace.punchout	PunchOut Connection
develoCore.sitemap.blog.title	Blog
develoCore.sitemap.blog.links[0]	Blog
develoCore.sitemap.blog.links[1]	Hyva Checkout Benefits for Conversion and Stability
develoCore.sitemap.blog.links[2]	Magento Site Speed: What Actually Makes a Difference (and What Doesn't)
develoCore.sitemap.blog.links[3]	Core Web Vitals: What Are They and Why Do They Matter for Your eCommerce Store
develoCore.sitemap.blog.links[4]	Magento Store Hierarchy: Website vs Store vs Store View Explained
develoCore.sitemap.blog.links[5]	5 Tips for Managing Magento Extensions and Plugins
develoCore.sitemap.blog.links[6]	Magento Patches for Your Store: 9 Steps for Business Owners
develoCore.sitemap.blog.links[7]	8 Tips to Optimise Magento Speed and Performance
develoCore.sitemap.blog.links[8]	Building Magento the Hyva Way: Why Hyva AI Skills Are a Positive Step Forward
develoCore.sitemap.blog.links[9]	A New Develo Website, and a Better Way of Building It
develoCore.sitemap.blog.links[10]	How to Optimise a Hyva Website
develoCore.sitemap.blog.links[11]	12 Fashion eCommerce Tips for Stylish, High-Converting Sites
develoCore.sitemap.blog.links[12]	What's the Average eCommerce Conversion Rate by Industry in 2025?
develoCore.sitemap.blog.links[13]	From Design to Development: How Hyva UI 2.5 Streamlines Magento UX
develoCore.sitemap.blog.links[14]	Hyva Themes vs Hyva Commerce
develoCore.sitemap.blog.links[15]	Microsoft Dynamics 365 Business Central + Magento Integration: Boost E-Commerce ROI
develoCore.sitemap.blog.links[16]	Elevate your eCommerce Brand Imagery with Generative AI
develoCore.sitemap.blog.links[17]	What is Headless Commerce? Pros & Cons
develoCore.sitemap.blog.links[18]	What is Adobe Commerce? Is it the Same as Magento?
develoCore.sitemap.blog.links[19]	What is Generative AI Imagery and How Can It Boost Your Brand?
develoCore.sitemap.blog.links[20]	What is Magento 2? Magento 1 vs 2 Differences & Benefits
develoCore.sitemap.blog.links[21]	6 Reasons Why Black Friday is Ruining Your Profitability
develoCore.sitemap.blog.links[22]	Is Black Friday Hurting Your Brand's Reputation?
develoCore.sitemap.blog.links[23]	Black Friday: Should Your Business Participate Given Its Environmental Impact?
develoCore.sitemap.blog.links[24]	Still on Magento 1? - 8 Reasons why it's time to migrate to Magento 2
develoCore.sitemap.blog.links[25]	Our Strategic Partnership with Hypernode for Superior Magento Performance
develoCore.sitemap.blog.links[26]	Hyva vs. Luma vs. Fire - Magento Checkouts
develoCore.sitemap.blog.links[27]	How to Build an eCommerce Marketing Strategy
develoCore.sitemap.blog.links[28]	Magento Open Source: Why Owning your Data is Important
develoCore.sitemap.blog.links[29]	eCommerce Website Builders: Popular Choices, Pros & Cons
develoCore.sitemap.blog.links[30]	Announcing Our New Partnership with Mage-OS
develoCore.sitemap.blog.links[31]	Introducing Howsafe, The Workwear Store
develoCore.sitemap.blog.links[32]	eCommerce SEO 101: An Overview
develoCore.sitemap.blog.links[33]	How to Start an eCommerce Business - 2024 Guide
develoCore.sitemap.blog.links[34]	Magento vs. Shopify: A Comparison
develoCore.sitemap.blog.links[35]	7 Things to Look for in a Web Design Agency
develoCore.sitemap.blog.links[36]	How to Choose the Best eCommerce Platform for Your Business
develoCore.sitemap.blog.links[37]	What is UI / UX & What do UX Designers Do?
develoCore.sitemap.blog.links[38]	What is Magento eCommerce? With Your FAQs Answered
develoCore.sitemap.blog.links[39]	What is Shopify? Our Honest Shopify Review
develoCore.sitemap.blog.links[40]	Rubber Ducking: The greatest tool of a development agency
develoCore.sitemap.blog.links[41]	Delivering CRO and the bigger Omni-channel picture
develoCore.sitemap.blog.links[42]	Sustainability in eCommerce 2024
develoCore.sitemap.blog.links[43]	Develo is a Hyva Silver Partner!
develoCore.sitemap.blog.links[44]	What is Conversion Rate Optimisation? And 4 Common Myths
develoCore.sitemap.blog.links[45]	The Develo Team is Growing: Meet Laura and Galahad
develoCore.sitemap.blog.links[46]	Why White Label Services are Game-Changers for Business
develoCore.sitemap.blog.links[47]	Are Magento Updates Really That Important?
develoCore.sitemap.blog.links[48]	What is PunchOut and how does it work?
develoCore.sitemap.blog.links[49]	Feefo Partnership
develoCore.sitemap.blog.links[50]	Why social media platforms alone can't future-proof your business
develoCore.sitemap.blog.links[51]	Microsoft Clarity vs Hotjar
develoCore.sitemap.blog.links[52]	Black Friday UX/UI Tips: Optimising Shopping Experiences to Maximise Conversions
develoCore.sitemap.blog.links[53]	Unlock Exclusive Black Friday Deals in 2023 on Hyva Magento Builds - Save Up to GBP5,000!
develoCore.sitemap.blog.links[54]	How to Prioritise your CRO Tests
develoCore.sitemap.blog.links[55]	The Develo and Sprinque Partnership
develoCore.sitemap.blog.links[56]	5 CRO Tips for Beginners
develoCore.sitemap.blog.links[57]	A Toast to Teague Chokes' New and Improved Hyva Site
develoCore.sitemap.blog.links[58]	Our Approach to Conversion Rate Optimisation
develoCore.sitemap.blog.links[59]	Hyva Enterprise: Elevating Adobe Commerce with Full Compatibility and Enhanced Capabilities
develoCore.sitemap.blog.links[60]	We've Partnered with Mollie!
develoCore.sitemap.blog.links[61]	Unlocking e-commerce potential with Algolia: a case study
develoCore.sitemap.blog.links[62]	How to use Google Lighthouse to improve performance of your eCommerce site
develoCore.sitemap.blog.links[63]	How AI can be used to benefit eCommerce stores
develoCore.sitemap.blog.links[64]	Hyva Checkout for Magento 2
develoCore.sitemap.blog.links[65]	Enhancing eCommerce Stores with Integrated Blogs
develoCore.sitemap.blog.links[66]	Converting your Magento 2 store to Hyva Themes
develoCore.sitemap.blog.links[67]	Integrating Etsy into your Magento Store
develoCore.sitemap.blog.links[68]	How much does a Hyva Magento site cost?
develoCore.sitemap.blog.links[69]	The Importance of Category Pages for Improving Conversions
develoCore.sitemap.blog.links[70]	Using PunchOut to Win Lucrative Contracts
develoCore.sitemap.blog.links[71]	Making modules compatible with Hyva Themes
develoCore.sitemap.blog.links[72]	Discover the health of your Magento Site with our Free Audit
develoCore.sitemap.blog.links[73]	Hyva vs Luma: Performance Comparison
develoCore.sitemap.blog.links[74]	eCommerce Glossary - Common Terms for eCommerce Merchants
develoCore.sitemap.blog.links[75]	A Guide to Optimising Your Site for Black Friday and Peak Seasonal Traffic
develoCore.sitemap.blog.links[76]	DTE - Magento Store & B2B Portals with SAP ERP integration and Develo PunchOut Connector
develoCore.sitemap.blog.links[77]	The Benefits of Onboarding an External Developer
develoCore.sitemap.blog.links[78]	Currys B2B Auction Portal
develoCore.sitemap.blog.links[79]	4 Ways to Humanise Your Business
develoCore.sitemap.blog.links[80]	Why is User-Generated Content Important?
develoCore.sitemap.blog.links[81]	A Guide to Category Merchandising in Magento
develoCore.sitemap.blog.links[82]	Do You Need Reviews on Your eCommerce Website?
develoCore.sitemap.blog.links[83]	The Strings Club - Webflow Brochure Website
develoCore.sitemap.blog.links[84]	What is Hyva Themes?
develoCore.sitemap.blog.links[85]	Shopify Instant Quote App for EO Distribution
develoCore.sitemap.blog.links[86]	Leon Pauls Site Launch - Migrating 10x Multi language stores to Magento 2
develoCore.sitemap.blog.links[87]	Why Should You Invest in Product Photography?
develoCore.sitemap.blog.links[88]	6 eCommerce Trends of 2022 to Optimise Your Website!
develoCore.sitemap.blog.links[89]	How we use Wireframes and Prototyping
develoCore.sitemap.blog.links[90]	Case Study - About BYS Youthbox App
develoCore.sitemap.blog.links[91]	Live Commerce - Is this the Future of Shopping?
develoCore.sitemap.blog.links[92]	We're Officially an Adobe Solution Partner
develoCore.sitemap.blog.links[93]	Hyva - The New Theme on the Block in Magento 2
develoCore.sitemap.blog.links[94]	Lubricant Supplies Site Launch - Magento 2, Hyva theme frontend
develoCore.sitemap.blog.links[95]	Case Study: Laravel 5 - Logging Actions and Generating Reports
develoCore.sitemap.blog.links[96]	Top Tips For Keeping Secure Online
develoCore.sitemap.blog.links[97]	Develo Sponsor Bournville Girls Football team
develoCore.sitemap.blog.links[98]	Say Hello To Selina!
develoCore.sitemap.blog.links[99]	3 Ways to Increase Customer Spending on your Magento Website
develoCore.sitemap.blog.links[100]	GDPR Checklist for your Magento eCommerce store
develoCore.sitemap.blog.links[101]	Top 3 Review Extensions for Magento
develoCore.sitemap.blog.links[102]	Top 5 Free Magento Extensions For Your Website
develoCore.sitemap.blog.links[103]	The Importance of Branding to a Website
develoCore.sitemap.blog.links[104]	Using Laravel and Infyom to create a dynamic navbar
develoCore.sitemap.blog.links[105]	Magento GDPR Compliance - Send a Cow
develoCore.sitemap.blog.links[106]	Benefits of E-Commerce Websites for Businesses
develoCore.sitemap.blog.links[107]	Magento Vs. Shopify - Which E-Commerce Platform is for Me?
develoCore.sitemap.blog.links[108]	Introduction to Object Oriented PHP - Pt. 1
develoCore.sitemap.blog.links[109]	Case Study - Setting up Magento for International eCommerce
develoCore.sitemap.blog.links[110]	3 Awesome Viral Marketing Examples (Is It Easy To Do?)
develoCore.sitemap.blog.links[111]	Advice on Passing the Magento Certified Developer Exam
develoCore.sitemap.blog.links[112]	Magento Custom Product Designer
develoCore.sitemap.blog.links[113]	Using Grunt To Streamline Magento Development
develoCore.sitemap.blog.links[114]	How To Install OroCRM On Your Local Machine
develoCore.sitemap.blog.links[115]	Using The Shopping Cart Total In Magento As The Conversion Value In Adwords
develoCore.sitemap.blog.links[116]	Case Study - Responsive Magento Ecommerce Site
develoCore.sitemap.blog.links[117]	Improving Magento Checkout Payment and Shipping Sections
develoCore.sitemap.blog.links[118]	Magento Product Designer
develoCore.sitemap.blog.links[119]	Becoming the First Magento Certified Developer in Birmingham
develoCore.sitemap.blog.links[120]	Adding Images to Magento Pages
develoCore.sitemap.blog.links[121]	Layout handles in magento design
develoCore.sitemap.blog.links[122]	Bodycare Direct
develoCore.sitemap.blog.links[123]	Magento SEO Advice
develoCore.sitemap.blog.links[124]	The Factory Young Peoples Centre
develoCore.sitemap.blog.links[125]	Did you mean? Search suggestions in Magento
develoCore.sitemap.blog.links[126]	Showing Products in a Magento Mega Menu
develoCore.sitemap.blog.links[127]	Oak Furniture King
develoCore.sitemap.blog.links[128]	Paypal Hosted Payments Pro Fix for Magento
develoCore.sitemap.blog.links[129]	Appointment Management System
develoCore.sitemap.blog.links[130]	Finding out about alcohol
develoCore.sitemap.blog.links[131]	Cooke Rudling Chartered Surveyors
develoCore.sitemap.blog.links[132]	I'm officially a Magento Wizard
develoCore.sitemap.blog.links[133]	Downgrading Magento Enterprise to Community Edition
develoCore.sitemap.learn.title	Learn
develoCore.sitemap.learn.links[0]	Learning Resources
develoCore.sitemap.learn.links[1]	Mastering Git Worktree
develoCore.sitemap.learn.links[2]	Using Claude and Gemini in a codespaces environment
develoCore.sitemap.learn.links[3]	How to Change PayPal Button Styles in Magento 2
develoCore.sitemap.learn.links[4]	Why and How Merchants are Moving from Adobe Commerce to Magento Open Source
develoCore.sitemap.learn.links[5]	Action Plan for Magento 2 Platform Upgrade - A comprehensive guide
develoCore.sitemap.learn.links[6]	5 Quick Ways to Improve Your Magento Admin Security
develoCore.sitemap.learn.links[7]	DDEV: My favourite for Local Development
develoCore.sitemap.learn.links[8]	Magento Headless CMS with Builder.io
develoCore.sitemap.learn.links[9]	What is Laravel? - A Comparison to Magento
develoCore.sitemap.learn.links[10]	Creating Composer Patches in Magento 2
develoCore.sitemap.learn.links[11]	Fixing Magento 2 Indexer Performance issues on 2.4.6
develoCore.sitemap.learn.links[12]	How to set up click tracking with Google Tag Manager
develoCore.sitemap.learn.links[13]	Create a private version of the Magento Gitpod starter repository
develoCore.sitemap.learn.links[14]	Webflow Address Geolocation Lookup Solution
develoCore.sitemap.learn.links[15]	Laravel Cloud development with Gitpod
develoCore.sitemap.learn.links[16]	Open and Close the Minicart in Hyva on Demand in JS
develoCore.sitemap.learn.links[17]	How to add tooltips that will improve your visitor's experience
develoCore.sitemap.learn.links[18]	How to create Slack notifications for contact forms that are part of a Laravel Application
develoCore.sitemap.learn.links[19]	Creating Developer Documentation with ChatGPT4 on Napkin.io
develoCore.sitemap.learn.links[20]	Upgrade Laravel 9 to Laravel 10
develoCore.sitemap.learn.links[21]	What's new in the Laravel 10 upgrade
develoCore.sitemap.learn.links[22]	How to add File Attachments in Email in Magento 2 (2.4.2-p1)
develoCore.sitemap.learn.links[23]	Writing a Unit Test for Magento 2
develoCore.sitemap.learn.links[24]	Adding additional sections to Algolia autocomplete search dropdown, in Hyva
develoCore.sitemap.learn.links[25]	Code snippet: Reducing the amount of visible Collapsible pills in JavaScript
develoCore.sitemap.learn.links[26]	Creating a Hyva Compat module
develoCore.sitemap.learn.links[27]	Using Gitpod on an existing Magento 2 project
develoCore.sitemap.learn.links[28]	Magento 2 development on Gitpod
develoCore.sitemap.learn.links[29]	How to get Price Ranges for Configurable Bundle Products
develoCore.sitemap.learn.links[30]	What's New in Magento 2.4.4?
develoCore.sitemap.learn.links[31]	Upgrade Laravel 8 to Laravel 9
develoCore.sitemap.learn.links[32]	Magento 2 - Integrity constraint violation: 1062 Duplicate entry
develoCore.sitemap.learn.links[33]	When ReCaptcha Fails - Protecting Your Inbox with a Honeypot
develoCore.sitemap.learn.links[34]	How Accessible is Your Website ?
develoCore.sitemap.learn.links[35]	Magento Barcode Scanner
develoCore.sitemap.learn.links[36]	Debugging a Randomly Slow Magento Site
develoCore.sitemap.learn.links[37]	Fixing Magento 2 URL Key issues after a Magento 1 migration
develoCore.sitemap.learn.links[38]	Hyva - How not to Lose Your Head in the Purge
develoCore.sitemap.learn.links[39]	How to format numbers to prices in Magento 2
develoCore.sitemap.learn.links[40]	Magento 2 Custom Widgets
develoCore.sitemap.learn.links[41]	Fixing Magento 2 and SAP Ariba Punchout connection issues
develoCore.sitemap.learn.links[42]	How to Improve Cart & Checkout Page of Your e-Store using Magento
develoCore.sitemap.learn.links[43]	Creating a basic Vue Storefront Module
develoCore.sitemap.learn.links[44]	Integrating a Vue component with Vue Storefront
develoCore.sitemap.learn.links[45]	Creating a new Vue Storefront theme
develoCore.sitemap.learn.links[46]	Vue Storefront and WordPress integration module
develoCore.sitemap.learn.links[47]	Developing a Vue Storefront 1.6 module
develoCore.sitemap.learn.links[48]	Clearing Thousands of old Magento Cache files
develoCore.sitemap.learn.links[49]	Upgrading Magento 2.2 to 2.3 - Easy step by step instructions
develoCore.sitemap.learn.links[50]	Magento Sagepay Error: Unable to redirect to Vendor's web site.
develoCore.sitemap.learn.links[51]	Machine Learning Pt. 1 - Linear Regression and Gradient Descent
develoCore.sitemap.learn.links[52]	Laravel Nova Tips and Troubleshooting
develoCore.sitemap.learn.links[53]	Laravel Nova - The official admin panel for Laravel
develoCore.sitemap.learn.links[54]	A beginners guide to Vuex
develoCore.sitemap.learn.links[55]	Using Mouse Events in Vue JS 2
develoCore.sitemap.learn.links[56]	Using the Vue Slider component in Vue 2 (Part 2)
develoCore.sitemap.learn.links[57]	Using the Vue Slider component in Vue 2
develoCore.sitemap.learn.links[58]	Magento catalog price rules not applying conditions to bundle products correctly
develoCore.sitemap.learn.links[59]	Laravel Traits - What are Traits and how to create one
develoCore.sitemap.learn.links[60]	Vue.JS & React.JS - Quick Comparison
develoCore.sitemap.learn.links[61]	Upgrade to newest version of Node.js - Mac OS X
develoCore.sitemap.learn.links[62]	Magento 2 - Displaying Custom Product Attributes in the Storefront
develoCore.sitemap.learn.links[63]	Exporting a Laravel database table to an Excel spreadsheet
develoCore.sitemap.learn.links[64]	What is E-Commerce?
develoCore.sitemap.learn.links[65]	Magento 1 spam emails
develoCore.sitemap.learn.links[66]	Magento 2 Product designer tool
develoCore.sitemap.learn.links[67]	E-Commerce Design Trends of 2017
develoCore.sitemap.learn.links[68]	Displaying Magento 2 products in Ionic 3 using the REST API
develoCore.sitemap.learn.links[69]	Ionic App Portfolio: Magento E-Commerce
develoCore.sitemap.learn.links[70]	Ionic App Portfolio: The Factory
develoCore.sitemap.learn.links[71]	Magento 2 - add new Column to the sales Invoice PDF
develoCore.sitemap.learn.links[72]	Laravel 5.5 - Bundling Javascript from NPM modules
develoCore.sitemap.learn.links[73]	Magento 2 - A fix for "mcrypt_module_open() is deprecated"
develoCore.sitemap.learn.links[74]	Using Mouse Events in Angular v4-6
develoCore.sitemap.learn.links[75]	Using InfyOm's Laravel Generator - Part 2 CRUD
develoCore.sitemap.learn.links[76]	Laravel Commands for Noobs
develoCore.sitemap.learn.links[77]	Using InfyOm's Laravel Generator - Part 1 CRUD
develoCore.sitemap.learn.links[78]	Upgrading from Angular 2 to 4
develoSocial.workPage.pageTitle	Our Work | Development Portfolio | Develo Design
develoSocial.workPage.pageDescription	Explore our client stories. Helping overcome technical limitations and unlock growth with custom Magento, Adobe and Hyvä solutions.
develoSocial.workPage.hero.smallTitle	Our Work
develoSocial.workPage.hero.heading	Explore our client stories
develoSocial.workPage.hero.description	Helping overcome technical limitations and unlock growth with custom Magento, Adobe and Hyvä solutions.
develoSocial.workPage.hero.allServicesCta	All Services
develoSocial.workPage.workItems.daylesford.description	Adobe Commerce rebuild with Hyvä for faster performance and a unified shopping experience.
develoSocial.workPage.workItems.brandalley.description	A high-performance Hyvä + Magento 2 site for a leading fashion retailer.
develoSocial.workPage.workItems.teague.description	Migration to Magento 2 with Hyvä Theme for Leading British Manufacturer
develoSocial.workPage.workItems.dte.description	A global Magento B2B platform with SAP and PunchOut integration for fast enterprise procurement.
develoSocial.workPage.workItems.bamford.description	Full Adobe Commerce rebuild on Hyvä, delivering faster performance and an elevated digital experience.
develoSocial.workPage.workItems.currys.description	Custom Magento B2B Auction Platform for FTSE 250 Global Brand.
develoSocial.workPage.workItems.howsafe.description	Magento 2 optimisation and modernisation for B2B construction apparel eCommerce.
develoSocial.workPage.workItems.leonpaul.description	Magento 2 Multi Store platform for premium fencing equipment.
develoSocial.workPage.cta.heading	Ready to start your project?
develoSocial.workPage.cta.description	We'd love to help you make it fast, scalable, and beautiful.
develoSocial.workPage.cta.getInTouch	Get in touch
develoSocial.testimonialsPage.pageTitle	Testimonials & Reviews | Develo Design
develoSocial.testimonialsPage.pageDescription	What Our Clients Say. Read testimonials and reviews from brands who trust Develo for Magento, Adobe Commerce and Hyva development.
develoSocial.testimonialsPage.hero.label	What Our Clients Say
develoSocial.testimonialsPage.hero.heading	Testimonials & Reviews
develoSocial.testimonialsPage.testimonials.dominika.quote	I am continually impressed by the results you produced! Your unique perspective, expertise and dedication played a crucial role in our project success.
develoSocial.testimonialsPage.testimonials.dominika.role	IT Project Manager
develoSocial.testimonialsPage.testimonials.aliceSorbyHyva.quote	We were impressed with their knowledge of the Hyva theme and their efficiency in implementing it. Communication was great throughout the process and we are happy with the outcome and the impact this has had on our site speed.
develoSocial.testimonialsPage.testimonials.aliceSorbyHyva.role	Digital & eCommerce Director, Bamford Collection
develoSocial.testimonialsPage.testimonials.pippaSilva.quote	Develo has truly become an extension of our team, consistently bringing proactive advice and innovative solutions that align perfectly with our objectives.
develoSocial.testimonialsPage.testimonials.pippaSilva.role	Project Manager
develoSocial.testimonialsPage.testimonials.aliceSorbyTeam.quote	Feels like Develo is an extension of our internal team
develoSocial.testimonialsPage.testimonials.aliceSorbyTeam.role	Digital & eCommerce Director, Bamford Collection
develoSocial.testimonialsPage.testimonials.rileyBeament.quote	We stock and sell some unusual products that require a lot of custom development. We've always been able to get what we want, no matter how complex it seemed.
develoSocial.testimonialsPage.testimonials.rileyBeament.role	Director of eCommerce
develoSocial.testimonialsPage.testimonials.johnSpencer.quote	Develo implemented the punchout2go module into our Magento installation with absolute precision. The integration was clean, fully compliant with our ERP procurement workflows, and performance has been rock solid. Data mapping, authentication, and order sync all worked exactly as required. Highly competent team who clearly know Magento and PunchOut inside out.
develoSocial.testimonialsPage.testimonials.johnSpencer.role	Dynamic Technologies Europe
develoSocial.testimonialsPage.testimonials.benHawes.quote	Develo has meticulous attention to detail, coupled with a technically sound scope of work and supporting SoW, showcased their commitment to excellence. We value our partnership and would gladly choose to work with them again for future endeavours.
develoSocial.testimonialsPage.testimonials.benHawes.role	Antiblanks
develoSocial.testimonialsPage.testimonials.gemmaEdwards.quote	The team's knowledge and experience with Magento is invaluable. The website's speed and UX improved significantly, with page elements loading efficiently. The team was great at communicating different stages of the project and was always on hand when needed.
develoSocial.testimonialsPage.testimonials.gemmaEdwards.role	Marketing Manager, Pure Theatre
develoSocial.testimonialsPage.testimonials.crisBrookes.quote	Really enjoyed working with the team this year - Luke Collymore and the team genuinely know their stuff and always deliver. Excited for what we've got lined up together
develoSocial.testimonialsPage.testimonials.crisBrookes.role	Digital Growth Manager, Costcutters
develoSocial.testimonialsPage.seeCaseStudy	See case study
develoSocial.testimonialsPage.reviews.label	Reviews
develoSocial.testimonialsPage.reviews.heading	Why brands choose us
develoSocial.testimonialsPage.reviews.description	From project delivery to ongoing optimisation, our independent reviews reflect the trust and outcomes we build with every partnership.
develoSocial.testimonialsPage.reviews.google.score	4.9 out of 5
develoSocial.testimonialsPage.reviews.google.meta	Based on 12 reviews
develoSocial.testimonialsPage.reviews.google.cta	View on Google
develoSocial.testimonialsPage.reviews.clutch.score	5.0 out of 5
develoSocial.testimonialsPage.reviews.clutch.meta	2 verified reviews
develoSocial.testimonialsPage.reviews.clutch.cta	View on Clutch
develoSocial.testimonialsPage.blog.label	The Blog
develoSocial.testimonialsPage.blog.heading	eCommerce Insights
develoSocial.testimonialsPage.blog.description	eCommerce news, expert insights and behind-the-scenes updates from our team at Develo.
develoSocial.testimonialsPage.blog.card1	Shopify's US Vape Restrictions: Why UK Retailers Should Be Reviewing Their eCommerce Platform Strategy
develoSocial.testimonialsPage.blog.card2	Luke Collymore Elected to the Mage-OS Board
develoSocial.testimonialsPage.blog.card3	Campus to Commerce: Giving Students a Real-World Introduction to eCommerce
develoSocial.testimonialsPage.blog.viewBlog	View the blog
develoSocial.aboutTestimonialsPage.pageTitle	Testimonials & Reviews | Develo Design
develoSocial.aboutTestimonialsPage.pageDescription	What Our Clients Say. Read testimonials and reviews from brands who trust Develo for Magento, Adobe Commerce and Hyva development.
develoSocial.aboutTestimonialsPage.hero.label	What Our Clients Say
develoSocial.aboutTestimonialsPage.hero.heading	Testimonials & Reviews
develoSocial.aboutTestimonialsPage.hero.quote	"I am continually impressed by the results you produced! Your unique perspective, expertise and dedication played a crucial role in our project success."
develoSocial.aboutTestimonialsPage.hero.role	IT Project Manager
develoSocial.aboutTestimonialsPage.hero.seeCaseStudy	See case study
develoSocial.aboutTestimonialsPage.reviews.label	Reviews
develoSocial.aboutTestimonialsPage.reviews.heading	Why brands choose us
develoSocial.aboutTestimonialsPage.reviews.description	From project delivery to ongoing optimisation, our independent reviews reflect the trust and outcomes we build with every partnership.
develoSocial.aboutTestimonialsPage.reviews.google.score	4.9 out of 5
develoSocial.aboutTestimonialsPage.reviews.google.meta	Based on 12 reviews
develoSocial.aboutTestimonialsPage.reviews.google.cta	View on Google
develoSocial.aboutTestimonialsPage.reviews.clutch.score	5.0 out of 5
develoSocial.aboutTestimonialsPage.reviews.clutch.meta	2 verified reviews
develoSocial.aboutTestimonialsPage.reviews.clutch.cta	View on Clutch
develoSocial.aboutTestimonialsPage.blog.label	The Blog
develoSocial.aboutTestimonialsPage.blog.heading	eCommerce Insights
develoSocial.aboutTestimonialsPage.blog.description	eCommerce news, expert insights and behind-the-scenes updates from our team at Develo.
develoSocial.aboutTestimonialsPage.blog.card1	Shopify's US Vape Restrictions: Why UK Retailers Should Be Reviewing Their eCommerce Platform Strategy
develoSocial.aboutTestimonialsPage.blog.card2	Luke Collymore Elected to the Mage-OS Board
develoSocial.aboutTestimonialsPage.blog.card3	Campus to Commerce: Giving Students a Real-World Introduction to eCommerce
develoSocial.aboutTestimonialsPage.blog.viewBlog	View the blog
develoSocial.serviceUiuxPage.pageTitle	UI/UX Agency Services | Develo Design
develoSocial.serviceUiuxPage.pageDescription	UX & UI Design that Improves Your eCommerce Performance. A Birmingham-based UX and eCommerce design agency focused on removing friction, improving journeys, and turning visitors into confident buyers.
develoSocial.serviceUiuxPage.hero.badge	UI/UX Agency Services
develoSocial.serviceUiuxPage.hero.heading	UX & UI Design that Improves Your eCommerce Performance
develoSocial.serviceUiuxPage.hero.description	A Birmingham-based UX and eCommerce design agency focused on removing friction, improving journeys, and turning visitors into confident buyers.
develoSocial.serviceUiuxPage.collaborative.label	Collaborative by design
develoSocial.serviceUiuxPage.collaborative.heading	UX design shaped by insight & experience
